tiempo,Theta1,Theta2
4.17,89.0090902483702,-103.275410401595
4.185,89.1343601529742,-103.418427035185
4.2,89.258939572767,-103.562460630641
4.215,89.3827909728659,-103.707490064823
4.23,89.5058760790951,-103.853494193277
4.245,89.6281558389431,-104.00045184765
4.26,89.7495903799286,-104.148341833206
4.275,89.8701389651419,-104.297142926465
4.29,89.9897599457047,-104.446833872949
4.305,90.1084107098631,-104.597393385056
4.32,90.2260476283978,-104.748800140077
4.335,90.3426259960019,-104.901032778356
4.35,90.4580999682361,-105.054069901614
4.365,90.572422493626,-105.20789007146
4.38,90.6855452404171,-105.362471808099
4.395,90.7974185174447,-105.517793589271
4.41,90.9079911885099,-105.673833849451
4.425,91.0172105795768,-105.830570979332
4.44,91.1250223780226,-105.987983325645
4.455,91.2313705230697,-106.146049191362
4.47,91.3361970864172,-106.304746836322
4.485,91.4394421419567,-106.464054478367
4.5,91.5410436233035,-106.623950295043
4.515,91.6409371676988,-106.78441242597
4.53,91.7390559446295,-106.945418975975
4.545,91.8353304672713,-107.106948019113
4.56,91.9296883845765,-107.268977603731
4.575,92.0220542514936,-107.431485758725
4.59,92.1123492744096,-107.594450501219
4.605,92.2004910284383,-107.75784984588
4.62,92.2863931426162,-107.921661816187
4.635,92.3699649484007,-108.085864457969
4.65,92.4511110860589,-108.250435855653
4.665,92.5297310625635,-108.415354151705
4.68,92.6057187534318,-108.580597569879
4.695,92.6789618395008,-108.746144443007
4.71,92.7493411678631,-108.911973246241
4.725,92.8167300239995,-109.078062636844
4.74,92.8809932994259,-109.244391501924
4.755,92.941986535767,-109.410939015789
4.77,92.9995548218761,-109.577684709101
4.785,93.0535315151621,-109.744608552487
4.8,93.1037367512871,-109.911691058068
4.815,93.149975697349,-110.078913403271
4.83,93.1920364918372,-110.246257582626
4.845,93.2296877990383,-110.413706594924
4.86,93.2626758847173,-110.58124467553
4.875,93.2907210916943,-110.748857586868
4.89,93.3135135552604,-110.916532984679
4.905,93.3307079445194,-111.084260884175
4.92,93.3419169394882,-111.252034259636
4.935,93.3467030437832,-111.419849824944
4.95,93.344568170662,-111.58770906359
4.965,93.3349401957796,-111.755619609239
4.98,93.3171552913819,-111.923597129687
4.995,93.2904342518285,-112.091667951987
5.01,93.2538500192047,-112.259872811019
5.025,93.2062818901383,-112.428272360587
5.04,93.1463487518284,-112.596955565834
5.055,93.0723076609479,-112.766053049092
5.07,92.981891556507,-112.935759504663
5.085,92.8720313112907,-113.106374123115
5.1,92.7383332389925,-113.278380921622
5.115,92.5739535975079,-113.452632538139
5.13,92.3665606992237,-113.63088131318
5.145,92.0857366889218,-113.818135678859
5.16,91.7313249523644,-114.01011250407
5.175,91.5089074078196,-114.163837916655
5.19,91.3505292777141,-114.298395102732
5.205,91.2425710425534,-114.418855250687
5.22,91.178741599435,-114.52803806694
5.235,91.1557967330512,-114.627747995148
5.25,91.1721149286713,-114.71920653418
5.265,91.2271428257954,-114.803233561924
5.28,91.3211825807767,-114.880325810357
5.295,91.4553729468019,-114.950676628997
5.31,91.6318476580779,-115.014144371852
5.325,91.8541632862535,-115.070147759395
5.34,92.1283261907007,-115.11740657106
5.355,92.4656824901898,-115.153216216136
5.37,92.8951553732252,-115.170437062846
5.385,93.4125526330704,-115.168401690388
5.4,93.8121704916732,-115.194015062889
5.415,94.1667026673308,-115.231746988176
5.43,94.4919826759917,-115.278218129519
5.445,94.7959926917525,-115.331665667536
5.46,95.0835151049413,-115.39098971937
5.475,95.3577290090863,-115.455425220633
5.49,95.6208899301976,-115.524402677027
5.505,95.8746719922532,-115.597477901698
5.52,96.1203597001367,-115.674292392887
5.535,96.3589640149728,-115.75454913445
5.55,96.5912967852002,-115.837996900214
5.565,96.8180206766108,-115.924419584353
5.58,97.0396839035403,-116.013628669601
5.595,97.2567451190787,-116.105457743422
5.61,97.4695917038497,-116.199758400805
5.625,97.6785534926995,-116.296397115317
5.64,97.8839132675496,-116.39525280431
5.655,98.0859149071254,-116.496214903202
5.67,98.2847698061283,-116.599181820519
5.685,98.4806619945504,-116.704059682745
5.7,98.6737522659153,-116.810761303145
5.715,98.8641815397009,-116.919205326071
5.73,99.0520736248355,-117.029315510471
5.745,99.2375375096588,-117.141020125035
5.76,99.4206692737635,-117.254251433774
5.775,99.6015536951613,-117.368945255546
5.79,99.7802656099075,-117.485040584526
5.805,99.9568710690611,-117.602479261313
5.82,100.131428328547,-117.721205686396
5.835,100.303988700343,-117.841166569286
